"ICAO","Name","Latitude","Longitude","IATA","GMT","Country code"
"SKLT","Alfredo Vasquez Cobo International Airport","-4.12","-69.56","LET","-5","COL"
"SKMD","Olaya Herrera Airport","6.13","-75.35","EOH","-5","COL"
"SKMR","Los Garzones-Monteria International Airport","8.46","-75.52","MTR","-5","COL"
"SKMZ","La Nubia Airport","5.05","-75.4","MZL","-5","COL"
"SKNV","Benito Salas Airport","2.56","-75.17","NVA","-5","COL"
"SKOC","Aguas Claras Airport","8.15","-73.47","OCV","-5","COL"
"SKPE","Matecana International Airport","4.48","-75.45","PEI","-5","COL"
"SKPP","Guillermo Leon Valencia Airport","2.27","-76.37","PPN","-5","COL"
"SKPS","Antonio Narino Airport","1.28","-77.15","PSO","-5","COL"
"SKPV","El Embrujo Airport","13.21","-81.21","PVA","-5","COL"
"SKRG","Jose Maria Cordova International Airport","6.14","-75.35","MDE","-5","COL"
"SKRH","Almirante Padilla Airport","11.32","-72.56","RCH","-5","COL"
"SKSJ","Jorge Enrique Gonzalez Torres Airport","2.35","-72.4","SJE","-5","COL"
"SKSM","Simon Bolivar International Airport","11.08","-74.13","SMR","-5","COL"
"SKSP","Gustavo Rojas Pinilla International Airport","12.59","-81.42","ADZ","-5","COL"
"SKTM","Gustavo Vargas Santos Airport","6.3","-71.46","TME","-5","COL"
"SKUC","Santiago Perez Quiroz Airport","7.04","-70.44","AUC","-5","COL"
"SKUI","El Carano Airport","5.41","-76.38","UIB","-5","COL"
"SKVP","Alfonso Lopez Pumarejo Airport","10.26","-73.15","VUP","-5","COL"
"SKVV","La Vanguardia Airport","4.05","-73.33","VVC","-5","COL"
"SLCB","Jorge Wilstermann International Airport","-17.24","-66.09","CBB","-4","BOL"
"SLCO","Captain Anibal Arab Airport","-11.01","-68.44","CIJ","-4","BOL"
"SLCZ","El Trompillo Airport","-17.48","-63.1","SRZ","-4","BOL"
"SLGY","Guayaramerin Airport","-10.48","-65.23","GYA","-4","BOL"
"SLLP","El Alto International Airport","-16.3","-68.12","LPB","-4","BOL"
"SLPS","Puerto Suarez Airport","-18.58","-57.52","PSZ","-4","BOL"
"SLRI","Riberalta Airport","-11.01","-66.05","RIB","-4","BOL"
"SLRQ","Rurrenabaque Airport","-14.27","-67.33","RBQ","-4","BOL"
"SLSB","Capitan German Quiroga Guardia Airport","-14.49","-66.5","SRJ","-4","BOL"
"SLSU","Juana Azurduy de Padilla","-19.01","-65.17","SRE","-4","BOL"
"SLTJ","Tarija Airport","-21.32","-64.45","TJA","-4","BOL"
"SLTR","Teniente Jorge Henrich Arauz Airport","-14.45","-64.49","TDD","-4","BOL"
"SLVR","Viru Viru International Airport","-17.38","-63.08","VVI","-4","BOL"
"SLYA","Yacuiba Airport","-21.58","-63.42","BYC","-4","BOL"
"SMJP","Johan Adolf Pengel International Airport","5.5","-55.1","PBM","-4","SUR"
"SOCA","Cayenne Felix Eboue Airport","4.56","-52.2","CAY","-3","GUF"
"SPCL","FAP Captain David Abensur Rengifo International Airport","-8.22","-74.35","PCL","-5","PER"
